Ett modernare utsökningsförfarande;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utsökningsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Bilaga 1 / Uppdraget;Medverkan//NN|UTR|SIN|IND|NOM//ROOT//0 till//PP//case//3 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 lösningar//NN|UTR|PLU|IND|NOM//nmod//0 och//KN//cc//5 processledning//NN|UTR|SIN|IND|NOM//conj//3
Bilaga 1 / Uppdraget;De//DT|UTR/NEU|PLU|DEF//det//2 utsökningsrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 reglerna//NN|UTR|PLU|DEF|NOM//nsubj//7 när//HA//case//6 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//3 gäller//VB|PRS|AKT//fixed//3 betalningsförpliktelser//NN|UTR|PLU|IND|NOM//nmod//2 syftar//VB|PRS|AKT//advcl//105 till//PP//mark//13 att//SN//mark//13 borgenären//NN|UTR|SIN|DEF|NOM//nsubj//13 tvångsvis//AB//advmod//13 ska//VB|PRS|AKT//aux//13 få//VB|INF|AKT//advcl//7 sin//PS|UTR|SIN|DEF//nmod:poss//15 fordran//NN|UTR|SIN|IND|NOM//obj//13 betald//PC|PRF|UTR|SIN|IND|NOM//xcomp//13 .//MAD//punct//7
Bilaga 1 / Uppdraget;En//DT|UTR|SIN|IND//det//19 fullgörelse//NN|UTR|SIN|IND|NOM//nsubj//25 som//HP|-|-|-//nsubj//21 sker//VB|PRS|AKT//acl:relcl//19 tvångsvis//AB//advmod//21 kan//VB|PRS|AKT//aux//25 dock//AB//advmod//25 innebära//VB|INF|AKT//parataxis//7 nackdelar//NN|UTR|PLU|IND|NOM//obj//25 för//PP//case//29 både//KN//cc//29 gäldenären//NN|UTR|SIN|DEF|NOM//nmod//26 och//KN//cc//31 borgenären//NN|UTR|SIN|DEF|NOM//conj//29 .//MAD//punct//25
Bilaga 1 / Uppdraget;För//PP//case//34 gäldenären//NN|UTR|SIN|DEF|NOM//obl//40 kan//VB|PRS|AKT//aux//40 tvångsförsäljning//NN|UTR|SIN|IND|NOM//nsubj//40 av//PP//case//39 utmätt//JJ|POS|UTR|SIN|IND|NOM//amod//39 egendom//NN|UTR|SIN|IND|NOM//nmod//36 leda//VB|INF|AKT//advcl//25 till//PP//case//44 en//DT|UTR|SIN|IND//det//44 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 köpeskilling//NN|UTR|SIN|IND|NOM//obl//40 än//KN//mark//46 annars//AB//acl//44 och//KN//cc//54 till//PP//mark//54 att//SN//mark//54 kostnader//NN|UTR|PLU|IND|NOM//nsubj//54 av//PP//case//53 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//53 slag//NN|NEU|PLU|IND|NOM//nmod//50 uppkommer//VB|PRS|AKT//conj//46 .//MID//punct//7
Bilaga 1 / Uppdraget;Dessa//DT|UTR/NEU|PLU|DEF//det//57 omständigheter//NN|UTR|PLU|IND|NOM//nsubj//62 kan//VB|PRS|AKT//aux//62 i//PP//advmod//62 sin//PS|UTR|SIN|DEF//fixed//59 tur//NN|UTR|SIN|IND|NOM//fixed//59 leda//VB|INF|AKT//parataxis//7 till//PP//mark//67 att//SN//mark//67 borgenären//NN|UTR|SIN|DEF|NOM//nsubj//67 inte//AB//advmod//67 får//VB|PRS|AKT//advcl//62 full//JJ|POS|UTR|SIN|IND|NOM//amod//69 täckning//NN|UTR|SIN|IND|NOM//obj//67 för//PP//case//72 sin//PS|UTR|SIN|DEF//nmod:poss//72 fordran//NN|UTR|SIN|IND|NOM//obl//67 eller//KN//cc//76 att//SN//mark//76 betalningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//76 fördröjs//VB|PRS|SFO//conj//67 .//MID//punct//7
Bilaga 1 / Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//82 kan//VB|PRS|AKT//aux//82 därför//AB//advmod//82 vara//VB|INF|AKT//cop//82 gynnsammare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//7 för//PP//case//85 bägge//DT|UTR/NEU|PLU|DEF//det//85 parter//NN|UTR|PLU|IND|NOM//obl//82 om//PP//case//87 betalning//NN|UTR|SIN|IND|NOM//nmod//85 av//PP//case//89 skulden//NN|UTR|SIN|DEF|NOM//nmod//87 kan//VB|PRS|AKT//aux//91 ske//VB|INF|AKT//advcl//82 på//PP//case//94 frivillig//JJ|POS|UTR|SIN|IND|NOM//amod//94 grund//NN|UTR|SIN|IND|NOM//obl//91 .//MAD//punct//82
Bilaga 1 / Uppdraget;Särskilt//AB//advmod//98 för//PP//case//98 borgenären//NN|UTR|SIN|DEF|NOM//nmod//82 kan//VB|PRS|AKT//aux//105 en//DT|UTR|SIN|IND//det//102 frivillig//JJ|POS|UTR|SIN|IND|NOM//amod//102 medverkan//NN|UTR|SIN|IND|NOM//nmod//104 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//104 gånger//NN|UTR|PLU|IND|NOM//nsubj//105 leda//VB|INF|AKT//ROOT//105 till//PP//case//109 ett//DT|NEU|SIN|IND//det//109 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//109 utfall//NN|NEU|SIN|IND|NOM//obl//105 .//MAD//punct//105
Bilaga 1 / Uppdraget;Förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//119 för//PP//mark//114 att//IE//mark//114 uppnå//VB|INF|AKT//acl//111 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//116 lösningar//NN|UTR|PLU|IND|NOM//nsubj:pass//119 skulle//VB|PRT|AKT//aux//119 kunna//VB|INF|AKT//aux//119 förbättras//VB|INF|SFO//parataxis//105 av//PP//case//123 en//DT|UTR|SIN|IND//det//123 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//123 medverkan//NN|UTR|SIN|IND|NOM//obl:agent//119 från//PP//case//126 Kronofogdemyndighetens//PM|GEN//nmod:poss//126 sida//NN|UTR|SIN|IND|NOM//nmod//123 .//MAD//punct//119
Bilaga 1 / Uppdraget;En//DT|UTR|SIN|IND//det//129 jämförelse//NN|UTR|SIN|IND|NOM//nsubj:pass//131 kan//VB|PRS|AKT//aux//131 göras//VB|INF|SFO//conj//119 med//PP//case//136 de//DT|UTR/NEU|PLU|DEF//det//135 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//135 domstolarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//136 skyldighet//NN|UTR|SIN|IND|NOM//obl//131 att//IE//mark//138 verka//VB|INF|AKT//acl//136 för//PP//case//140 samförståndslösningar//NN|UTR|PLU|IND|NOM//obl//138 .//MAD//punct//119
Bilaga 1 / Uppdraget;Kronofogdemyndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//143 förutsättningar//NN|UTR|PLU|IND|NOM//nsubj:pass//151 för//PP//mark//146 att//IE//mark//146 processleda//VB|INF|AKT//acl//143 parterna//NN|UTR|PLU|DEF|NOM//obj//146 skulle//VB|PRT|AKT//aux//151 också//AB//advmod//151 kunna//VB|INF|AKT//aux//151 förbättras//VB|INF|SFO//advcl//119 i//PP//case//153 syfte//NN|NEU|SIN|IND|NOM//obl//151 att//IE//mark//155 effektivisera//VB|INF|AKT//acl//153 utsökningsförfarandet//NN|NEU|SIN|DEF|NOM//obj//155 .//MAD//punct//175
Bilaga 1 / Uppdraget;Genom//PP//case//161 2008//RG|NOM//nummod//160 års//NN|NEU|SIN|IND|GEN//nmod:poss//161 ändringar//NN|UTR|PLU|IND|NOM//obl//175 i//PP//case//166 fråga//NN|UTR|SIN|IND|NOM//fixed//162 om//PP//fixed//162 Kronofogdemyndighetens//PM|GEN//nmod:poss//166 roll//NN|UTR|SIN|IND|NOM//nmod//161 som//KN//mark//169 neutral//JJ|POS|UTR|SIN|IND|NOM//amod//169 verkställare//NN|UTR|SIN|IND|NOM//appos//166 och//KN//cc//172 opartisk//JJ|POS|UTR|SIN|IND|NOM//amod//172 myndighet//NN|UTR|SIN|IND|NOM//conj//169 bör//VB|PRS|AKT//aux//175 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//175 finnas//VB|INF|SFO//parataxis//119 förutsättningar//NN|UTR|PLU|IND|NOM//xcomp//175 för//PP//case//179 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//179 medverkan//NN|UTR|SIN|IND|NOM//nmod//176 från//PP//case//181 Kronofogdemyndigheten//PM|NOM//nmod//179 i//PP//case//184 dessa//DT|UTR/NEU|PLU|DEF//det//184 avseenden//NN|NEU|PLU|IND|NOM//obl//175 .//MAD//punct//119
Bilaga 1 / Uppdraget;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//1 ska//VB|PRS|AKT//ROOT//1 därför//AB//advmod//1
Bilaga 1 / Uppdraget;•//NN|UTR|SIN|IND|NOM//nsubj//1 ta//VB|INF|AKT//ROOT//1 ställning//NN|UTR|SIN|IND|NOM//obj//1 till//PP//advmod//2 på//PP//case//6 vilka//HD|UTR/NEU|PLU|IND//det//6 sätt//NN|NEU|PLU|IND|NOM//nmod//8 Kronofogdemyndighetens//PM|GEN//nmod:poss//8 möjligheter//NN|UTR|PLU|IND|NOM//nsubj:pass//17 till//PP//case//10 processledning//NN|UTR|SIN|IND|NOM//nmod//8 och//KN//cc//12 medverkan//NN|UTR|SIN|IND|NOM//conj//10 till//PP//case//15 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 lösningar//NN|UTR|PLU|IND|NOM//nmod//12 kan//VB|PRS|AKT//aux//17 förbättras//VB|INF|SFO//advcl//1 .//MAD//punct//17
Bilaga 1 / Uppdraget;Exekutiv//JJ|POS|UTR|SIN|IND|NOM//amod//1 försäljning//NN|UTR|SIN|IND|NOM//ROOT//1 och//KN//cc//3 redovisning//NN|UTR|SIN|IND|NOM//conj//1 av//PP//case//6 influtna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 medel//NN|NEU|PLU|IND|NOM//nmod//3
Bilaga 1 / Uppdraget;I//PP//case//2 de//DT|UTR/NEU|PLU|DEF//det//2 fall//NN|NEU|PLU|IND|NOM//obl//6 en//DT|UTR|SIN|IND//det//4 gäldenär//NN|UTR|SIN|IND|NOM//nsubj//6 har//VB|PRS|AKT//aux//6 visat//VB|SUP|AKT//advcl//49 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//6 ha//VB|INF|AKT//xcomp//6 utmätningsbar//JJ|POS|UTR|SIN|IND|NOM//amod//10 egendom//NN|UTR|SIN|IND|NOM//obj//8 är//VB|PRS|AKT//cop//15 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 av//PP//case//15 stor//JJ|POS|UTR|SIN|IND|NOM//amod//15 betydelse//NN|UTR|SIN|IND|NOM//nsubj//6 att//SN//mark//19 egendomen//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 kan//VB|PRS|AKT//aux//19 säljas//VB|INF|SFO//acl//15 med//PP//case//24 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//24 möjliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 resultat//NN|NEU|PLU|IND|NOM//obl//19 och//KN//cc//29 att//SN//mark//29 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//29 kan//VB|PRS|AKT//aux//29 ske//VB|INF|AKT//conj//19 på//PP//case//35 ett//DT|NEU|SIN|IND//det//35 snabbt//JJ|POS|NEU|SIN|IND|NOM//amod//35 och//KN//cc//34 smidigt//JJ|POS|NEU|SIN|IND|NOM//conj//32 sätt//NN|NEU|SIN|IND|NOM//obl//29 .//MAD//punct//15
Bilaga 1 / Uppdraget;Som//HP|-|-|-//nsubj:pass//38 nämns//VB|PRS|SFO//advcl//6 ovan//AB//advmod//38 har//VB|PRS|AKT//aux//49 reglerna//NN|UTR|PLU|DEF|NOM//nsubj//49 om//PP//case//44 exekutiv//JJ|POS|UTR|SIN|IND|NOM//amod//44 försäljning//NN|UTR|SIN|IND|NOM//nmod//41 av//PP//case//47 lös//JJ|POS|UTR|SIN|IND|NOM//amod//47 egendom//NN|UTR|SIN|IND|NOM//nmod//44 nyligen//AB//advmod//49 moderniserats//VB|SUP|SFO//ROOT//49 ,//MID//punct//49 bl.a.//AB|AN//advmod//53 genom//PP//case//53 möjlighet//NN|UTR|SIN|IND|NOM//obl//49 till//PP//case//55 e-auktioner//NN|UTR|PLU|IND|NOM//nmod//53 .//MAD//punct//49
Bilaga 1 / Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//58 finns//VB|PRS|SFO//parataxis//49 anledning//NN|UTR|SIN|IND|NOM//nsubj//58 att//IE//mark//63 nu//AB//advmod//63 även//AB//advmod//63 överväga//VB|INF|AKT//acl//59 hur//HA//advmod//73 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//73 om//PP//case//68 exekutiv//JJ|POS|UTR|SIN|IND|NOM//amod//68 försäljning//NN|UTR|SIN|IND|NOM//nmod//65 av//PP//case//71 fast//JJ|POS|UTR|SIN|IND|NOM//amod//71 egendom//NN|UTR|SIN|IND|NOM//nmod//68 kan//VB|PRS|AKT//aux//73 moderniseras//VB|INF|SFO//ccomp//63 bl.a.//AB|AN//advmod//73 för//PP//mark//81 att//IE//mark//81 i//PP//case//79 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//79 utsträckning//NN|UTR|SIN|IND|NOM//obl//81 kunna//VB|INF|AKT//aux//81 anpassa//VB|INF|AKT//advcl//73 försäljningsförfarandet//NN|NEU|SIN|DEF|NOM//obj//81 efter//PP//case//84 vad//HP|NEU|SIN|IND//obl//81 som//HP|-|-|-//nsubj//87 är//VB|PRS|AKT//cop//87 lämpligt//JJ|POS|NEU|SIN|IND|NOM//acl:relcl//84 i//PP//case//91 det//DT|NEU|SIN|DEF//det//91 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//91 fallet//NN|NEU|SIN|DEF|NOM//obl//87 .//MID//punct//58
Bilaga 1 / Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//95 kan//VB|PRS|AKT//aux//95 handla//VB|INF|AKT//conj//49 om//PP//mark//98 att//IE//mark//98 förbättra//VB|INF|AKT//advcl//95 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//98 för//PP//mark//102 att//IE//mark//102 använda//VB|INF|AKT//advcl//98 fastighetsmäklare//NN|UTR|PLU|IND|NOM//obj//102 men//KN//cc//107 även//AB//advmod//107 att//IE//mark//107 möjliggöra//VB|INF|AKT//conj//102 en//DT|UTR|SIN|IND//det//110 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//110 användning//NN|UTR|SIN|IND|NOM//obj//107 av//PP//case//113 modern//JJ|POS|UTR|SIN|IND|NOM//amod//113 teknik//NN|UTR|SIN|IND|NOM//nmod//110 .//MAD//punct//95
Bilaga 1 / Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//118 kan//VB|PRS|AKT//aux//118 inte//AB//advmod//118 uteslutas//VB|INF|SFO//parataxis//95 att//SN//mark//124 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//124 i//PP//case//123 detta//DT|NEU|SIN|DEF//det//123 sammanhang//NN|NEU|SIN|IND|NOM//obl//124 finns//VB|PRS|SFO//ccomp//118 utrymme//NN|NEU|SIN|IND|NOM//nsubj//124 att//IE//mark//129 ytterligare//AB|KOM//advmod//128 modernisera//VB|INF|AKT//amod//129 reglerna//NN|UTR|PLU|DEF|NOM//acl//125 om//PP//case//131 försäljning//NN|UTR|SIN|IND|NOM//nmod//129 av//PP//case//134 lös//JJ|POS|UTR|SIN|IND|NOM//amod//134 egendom//NN|UTR|SIN|IND|NOM//nmod//131 .//MAD//punct//95
Bilaga 1 / Uppdraget;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 avslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 fasen//NN|UTR|SIN|DEF|NOM//obl//22 av//PP//case//5 utmätningsprocessen//NN|UTR|SIN|DEF|NOM//nmod//3 ska//VB|PRS|AKT//aux//22 de//DT|UTR/NEU|PLU|DEF//det//8 medel//NN|NEU|PLU|IND|NOM//nsubj:pass//22 som//HP|-|-|-//nsubj//11 har//VB|PRS|AKT//aux//11 blivit//VB|SUP|AKT//acl:relcl//8 utmätta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//11 eller//KN//cc//15 annars//AB//advmod//15 flutit//VB|SUP|AKT//conj//11 in//PL//compound:prt//15 redovisas//VB|INF|SFO//xcomp//15 ,//MID//punct//8 t.ex.//AB|AN//advmod//22 ska//VB|PRS|AKT//aux//22 medlen//NN|NEU|PLU|DEF|NOM//nsubj:pass//22 fördelas//VB|INF|SFO//ROOT//22 mellan//PP//case//24 borgenärerna//NN|UTR|PLU|DEF|NOM//obl//22 och//KN//cc//26 betalas//VB|PRS|SFO//conj//22 ut//PL//compound:prt//26 .//MAD//punct//29
Bilaga 1 / Uppdraget;Reglerna//NN|UTR|PLU|DEF|NOM//nsubj//35 om//PP//case//31 fördelning//NN|UTR|SIN|IND|NOM//nmod//29 av//PP//case//34 influtna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//34 medel//NN|NEU|PLU|IND|NOM//nmod//31 innebär//VB|PRS|AKT//conj//22 att//SN//mark//42 fördelning//NN|UTR|SIN|IND|NOM//nsubj//42 i//PP//case//40 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 situationer//NN|UTR|PLU|IND|NOM//nmod//37 måste//VB|PRS|AKT//aux//42 ske//VB|INF|AKT//ccomp//35 efter//PP//case//46 ett//DT|NEU|SIN|IND//det//46 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//46 sammanträde//NN|NEU|SIN|IND|NOM//obl//42 .//MAD//punct//22
Bilaga 1 / Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//49 gäller//VB|PRS|AKT//parataxis//22 t.ex.//AB|AN//advmod//49 då//AB//advmod//49 fast//JJ|POS|UTR|SIN|IND|NOM//advmod//55 egendom//NN|UTR|SIN|IND|NOM//nsubj:pass//55 har//VB|PRS|AKT//aux//55 sålts//VB|SUP|SFO//advcl//49 exekutivt//AB|POS//advmod//55 på//PP//case//58 auktion//NN|UTR|SIN|IND|NOM//obl//55 .//MAD//punct//49
Bilaga 1 / Uppdraget;I//PP//case//62 de//DT|UTR/NEU|PLU|DEF//det//62 fall//NN|NEU|PLU|IND|NOM//obl//78 där//HA//advmod//67 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//67 inte//AB//advmod//67 är//VB|PRS|AKT//cop//67 förenat//PC|PRF|NEU|SIN|IND|NOM//acl:relcl//62 med//PP//case//70 några//DT|UTR/NEU|PLU|IND//det//70 svårigheter//NN|UTR|PLU|IND|NOM//obl//67 att//IE//mark//72 fördela//VB|INF|AKT//acl//70 de//DT|UTR/NEU|PLU|DEF//det//75 influtna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//75 medlen//NN|NEU|PLU|DEF|NOM//obj//72 kan//VB|PRS|AKT//aux//78 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//78 ifrågasättas//VB|INF|SFO//advcl//49 om//SN//mark//83 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//83 ska//VB|PRS|AKT//aux//83 vara//VB|INF|AKT//cop//83 obligatoriskt//JJ|POS|NEU|SIN|IND|NOM//advcl//78 att//IE//mark//85 hålla//VB|INF|AKT//csubj//83 ett//DT|NEU|SIN|IND//det//88 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//88 fördelningssammanträde//NN|NEU|SIN|IND|NOM//obj//85 .//MAD//punct//78
Bilaga 1 / Uppdraget;Även//AB//advmod//93 i//PP//advmod//93 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//91 finns//VB|PRS|SFO//parataxis//78 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//93 ett//DT|NEU|SIN|IND//det//96 behov//NN|NEU|SIN|IND|NOM//nsubj//93 av//PP//mark//99 att//IE//mark//99 se//VB|INF|AKT//acl//96 över//PL//case//101 reglerna//NN|UTR|PLU|DEF|NOM//obl//99 om//PP//case//103 redovisning//NN|UTR|SIN|IND|NOM//nmod//101 av//PP//case//106 influtna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//106 medel//NN|NEU|PLU|IND|NOM//nmod//103 i//PP//case//108 syfte//NN|NEU|SIN|IND|NOM//nmod//103 att//IE//mark//110 göra//VB|INF|AKT//advcl//99 denna//DT|UTR|SIN|DEF//det//112 fas//NN|UTR|SIN|IND|NOM//obj//110 smidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//110 och//KN//cc//116 mer//AB|KOM//advmod//116 effektiv//JJ|POS|UTR|SIN|IND|NOM//conj//113 .//MAD//punct//22
Bilaga 1 / Uppdraget;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//1 ska//VB|PRS|AKT//ROOT//1 därför//AB//advmod//1
Bilaga 1 / Uppdraget;•//NN|UTR|SIN|IND|NOM//nsubj//1 ta//VB|INF|AKT//ROOT//1 ställning//NN|UTR|SIN|IND|NOM//obj//1 till//PP//mark//13 hur//HA//advmod//13 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//13 om//PP//case//8 exekutiv//JJ|POS|UTR|SIN|IND|NOM//amod//8 försäljning//NN|UTR|SIN|IND|NOM//nmod//5 av//PP//case//11 fast//JJ|POS|UTR|SIN|IND|NOM//amod//11 egendom//NN|UTR|SIN|IND|NOM//nmod//8 kan//VB|PRS|AKT//aux//13 moderniseras//VB|INF|SFO//advcl//1 och//KN//cc//23 om//SN//mark//23 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//23 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 försäljning//NN|UTR|SIN|IND|NOM//nmod//16 av//PP//case//21 lös//JJ|POS|UTR|SIN|IND|NOM//amod//21 egendom//NN|UTR|SIN|IND|NOM//nmod//18 behöver//VB|PRS|AKT//aux//23 förändras//VB|INF|SFO//conj//13 ytterligare//AB|KOM//advmod//23 ,//MID//punct//23 och//KN//punct//1
Bilaga 1 / Uppdraget;•//NN|UTR|SIN|IND|NOM//nsubj//1 ta//VB|INF|AKT//ROOT//1 ställning//NN|UTR|SIN|IND|NOM//obj//1 till//PP//mark//12 hur//HA//advmod//12 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//12 om//PP//case//7 redovisning//NN|UTR|SIN|IND|NOM//nmod//5 av//PP//case//10 influtna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//10 medel//NN|NEU|PLU|IND|NOM//nmod//7 kan//VB|PRS|AKT//aux//12 förenklas//VB|INF|SFO//advcl//1 och//KN//cc//16 i//PP//advmod//16 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//14 moderniseras//VB|PRS|SFO//conj//12 .//MAD//punct//1

Bilaga 1 / Konsekvenser;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//2 ska//VB|PRS|AKT//aux//2 bedöma//VB|INF|AKT//ROOT//2 de//DT|UTR/NEU|PLU|DEF//det//5 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 konsekvenserna//NN|UTR|PLU|DEF|NOM//obj//2 av//PP//case//7 förslagen//NN|NEU|PLU|DEF|NOM//nmod//5 för//PP//case//9 näringslivet//NN|NEU|SIN|DEF|NOM//nmod//7 ,//MID//punct//5 särskilt//AB//advmod//16 för//PP//case//16 små//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 och//KN//cc//15 medelstora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//13 företag//NN|NEU|PLU|IND|NOM//appos//5 ,//MID//punct//18 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//16 och//KN//cc//21 det//DT|NEU|SIN|DEF//det//21 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//16 .//MAD//punct//2
Bilaga 1 / Konsekvenser;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//25 ska//VB|PRS|AKT//aux//25 redovisa//VB|INF|AKT//conj//2 vilka//HD|UTR/NEU|PLU|IND//det//27 konsekvenser//NN|UTR|PLU|IND|NOM//obj//33 de//DT|UTR/NEU|PLU|DEF//det//29 förslag//NN|NEU|PLU|IND|NOM//nsubj//33 som//HP|-|-|-//nsubj:pass//31 lämnas//VB|PRS|SFO//acl:relcl//29 kan//VB|PRS|AKT//aux//33 få//VB|INF|AKT//ccomp//25 för//PP//case//35 jämställdheten//NN|UTR|SIN|DEF|NOM//obl//33 mellan//PP//case//37 kvinnor//NN|UTR|PLU|IND|NOM//nmod//35 och//KN//cc//39 män//NN|UTR|PLU|IND|NOM//conj//37 .//MAD//punct//25
Bilaga 1 / Konsekvenser;Om//SN//mark//3 utredarens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 förslag//NN|NEU|SIN|IND|NOM//nsubj//3 medför//VB|PRS|AKT//advcl//14 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 kostnader//NN|UTR|PLU|IND|NOM//obj//3 för//PP//case//8 det//DT|NEU|SIN|DEF//det//8 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//obl//3 ,//MID//punct//14 ska//VB|PRS|AKT//aux//14 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//14 till//PP//case//13 finansiering//NN|UTR|SIN|IND|NOM//nmod//11 redovisas//VB|INF|SFO//ROOT//14 .//MAD//punct//14

Bilaga 1 / Arbetets bedrivande och redovisning av uppdraget;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//2 ska//VB|PRS|AKT//aux//2 inhämta//VB|INF|AKT//ROOT//2 synpunkter//NN|UTR|PLU|IND|NOM//obj//2 från//PP//case//5 Kronofogdemyndigheten//PM|NOM//nmod//3 ,//MID//punct//7 Skatteverket//PM|NOM//conj//5 ,//MID//punct//11 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 myndigheter//NN|UTR|PLU|IND|NOM//conj//5 ,//MID//punct//13 företag//NN|NEU|PLU|IND|NOM//conj//5 och//KN//cc//15 organisationer//NN|UTR|PLU|IND|NOM//conj//5 i//PP//case//18 den//DT|UTR|SIN|DEF//det//18 utsträckning//NN|UTR|SIN|IND|NOM//obl//2 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//20 bedöms//VB|PRS|SFO//acl:relcl//18 lämpligt//AB|POS//xcomp//20 .//MAD//punct//2
Bilaga 1 / Arbetets bedrivande och redovisning av uppdraget;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//2 ska//VB|PRS|AKT//aux//2 göra//VB|INF|AKT//ROOT//2 de//DT|UTR/NEU|PLU|DEF//det//5 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 jämförelser//NN|UTR|PLU|IND|NOM//obj//2 som//HP|-|-|-//nsubj//8 är//VB|PRS|AKT//cop//8 befogade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//5 .//MAD//punct//2
